esco_id,section_code,section_label_en,division_code,division_label_en,group_code,group_label_en,embedding_description
00747307-6341-4266-a061-25416f7c6a96,Q,Q EDUCATION,85,85 Education,854,85.4 Tertiary education,Q EDUCATION 85 Education 85.4 Tertiary education
00747307-6341-4266-a061-25416f7c6a96,Q,Q EDUCATION,85,85 Education,853,85.3 Secondary and post-secondary non-tertiary education,"Q EDUCATION 85 Education 85.3 Secondary and post-secondary non-tertiary education This group includes the provision of general secondary and technical and vocational secondary education. This group also includes the provision of education programmes within or outside the school system which are equivalent in content to programmes in secondary education but are intended for those considered too old to enter secondary schools. Examples of such programmes are adult literacy programmes, second chance or reintegration programmes."
0085f271-5999-4d42-b879-75c3b4269883,C,C MANUFACTURING,10,10 Manufacture of food products,104,10.4 Manufacture of vegetable and animal oils and fats,C MANUFACTURING 10 Manufacture of food products 10.4 Manufacture of vegetable and animal oils and fats This group includes the manufacture of crude and refined oils and fats from vegetable or animal materials.
0090dd54-057a-4f65-bbe8-f74c4999e8e8,C,C MANUFACTURING,10,10 Manufacture of food products,107,10.7 Manufacture of bakery and farinaceous products,"C MANUFACTURING 10 Manufacture of food products 10.7 Manufacture of bakery and farinaceous products This group includes the production of bakery products, macaroni, noodles and similar products. This group also includes:
- manufacture of gluten-free bakery and farinaceous products"
00913533-5237-4870-9003-d1cb806603c9,G,G WHOLESALE AND RETAIL TRADE,47,47 Retail trade,472,"47.2 Retail sale of food, beverages and tobacco","G WHOLESALE AND RETAIL TRADE 47 Retail trade 47.2 Retail sale of food, beverages and tobacco"
009d29de-5872-43be-8d9b-abd27f8c99f1,O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,77,77 Rental and leasing activities,773,"77.3 Rental and leasing of other machinery, equipment and tangible goods","O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES 77 Rental and leasing activities 77.3 Rental and leasing of other machinery, equipment and tangible goods"
00ab29a3-6d4a-4df9-b46d-de31069e36e8,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",71,71 Architectural and engineering activities; technical testing and analysis,711,71.1 Architectural and engineering activities and related technical consultancy,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 71 Architectural and engineering activities; technical testing and analysis 71.1 Architectural and engineering activities and related technical consultancy This group includes the provision of architectural services, engineering services, drafting services, building inspection services, surveying and mapping services, and so on."
00ab29a3-6d4a-4df9-b46d-de31069e36e8,B,B MINING AND QUARRYING,08,08 Other mining and quarrying,089,08.9 Mining and quarrying n.e.c.,B MINING AND QUARRYING 08 Other mining and quarrying 08.9 Mining and quarrying n.e.c.
00ab29a3-6d4a-4df9-b46d-de31069e36e8,F,F CONSTRUCTION,43,43 Specialised construction activities,431,43.1 Demolition and site preparation,"F CONSTRUCTION 43 Specialised construction activities 43.1 Demolition and site preparation This group includes activities of preparing a site for subsequent construction activities, including the removal of previously existing structures."
00c8d1cf-24f2-47d1-9f10-765e1c102811,C,C MANUFACTURING,33,"33 Repair, maintenance and installation of machinery and equipment",331,"33.1 Repair and maintenance of fabricated metal products, machinery and equipment","C MANUFACTURING 33 Repair, maintenance and installation of machinery and equipment 33.1 Repair and maintenance of fabricated metal products, machinery and equipment This group includes the specialised repair of goods produced in the manufacturing sector with the aim to restore these metal products, machinery, equipment and other products to working order. The provision of general or routine maintenance (in other words, servicing) on such products to ensure they work efficiently and to prevent breakdown and unnecessary repairs is included."
00cee175-1376-43fb-9f02-ba3d7a910a58,H,H TRANSPORTATION AND STORAGE,49,49 Land transport and transport via pipelines,493,49.3 Other passenger land transport,H TRANSPORTATION AND STORAGE 49 Land transport and transport via pipelines 49.3 Other passenger land transport This group includes all land-based passenger transport activities other than rail transport.
00fdad73-4551-4e43-b256-1d4a3759db1e,G,G WHOLESALE AND RETAIL TRADE,46,46 Wholesale trade,461,46.1 Wholesale on a fee or contract basis,"G WHOLESALE AND RETAIL TRADE 46 Wholesale trade 46.1 Wholesale on a fee or contract basis This group includes intermediation service activities, in other words, the facilitation of transactions between sellers and buyers for the ordering of goods for a fee or commission without taking ownership of the goods intermediated, including:
- activities of commission agents, commodity brokers and other wholesalers trading on the account of others without owning the intermediated goods at any time
- activities of bringing sellers and buyers together
- activities of undertaking commercial transactions on the account of a principal, including on the internet This group also includes:
- activities of central purchasing units if they are only intermediaries and do not own the goods
- activities of wholesale auctioneering houses for third-party goods, including internet wholesale auctions"
00fdad73-4551-4e43-b256-1d4a3759db1e,G,G WHOLESALE AND RETAIL TRADE,46,46 Wholesale trade,463,"46.3 Wholesale of food, beverages and tobacco","G WHOLESALE AND RETAIL TRADE 46 Wholesale trade 46.3 Wholesale of food, beverages and tobacco This group includes:
- wholesale of fresh, preserved and frozen food
- specialised and non-specialised wholesale of food, beverages and tobacco"
01205776-db8d-4588-a6a6-56d0b9c660a9,P,P PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,84,84 Public administration and defence; compulsory social security,841,"84.1 Administration of the State and the economic, social and environmental policies of the community","P PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY 84 Public administration and defence; compulsory social security 84.1 Administration of the State and the economic, social and environmental policies of the community This group includes general administration (for example, executive, legislative and financial administration, at all levels of government) and supervision in the field of social, economic and environmental policy of the community."
01484951-15e6-4b88-a20f-1201868d36a0,I,I ACCOMMODATION AND FOOD SERVICE ACTIVITIES,56,56 Food and beverage service activities,561,56.1 Restaurants and mobile food service activities,"I ACCOMMODATION AND FOOD SERVICE ACTIVITIES 56 Food and beverage service activities 56.1 Restaurants and mobile food service activities This group includes:
- restaurant and mobile food service activities for a general public, on a regular basis"
0152b59d-5005-470c-9273-ef321477d8dc,C,C MANUFACTURING,13,13 Manufacture of textiles,139,13.9 Manufacture of other textiles,"C MANUFACTURING 13 Manufacture of textiles 13.9 Manufacture of other textiles This group includes the manufacture of products produced from textiles, except wearing apparel (for example, made-up textile articles, carpets and rugs, rope, narrow woven fabrics, trimmings)."
01649ae9-22ee-4dba-83a8-3a2c51fbbe95,Q,Q EDUCATION,85,85 Education,856,85.6 Educational support activities,Q EDUCATION 85 Education 85.6 Educational support activities
0181835d-dd00-49e2-9fc4-e1382a65957f,F,F CONSTRUCTION,43,43 Specialised construction activities,432,"43.2 Electrical, plumbing and other construction installation activities","F CONSTRUCTION 43 Specialised construction activities 43.2 Electrical, plumbing and other construction installation activities This group includes installation activities that support the functioning of a building, including the installation of electrical systems, plumbing (water, gas and sewerage systems), heat and air-conditioning systems, elevators, and so on."
01989dd8-36c0-43cc-a82d-2bfc409de9c4,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",71,71 Architectural and engineering activities; technical testing and analysis,711,71.1 Architectural and engineering activities and related technical consultancy,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 71 Architectural and engineering activities; technical testing and analysis 71.1 Architectural and engineering activities and related technical consultancy This group includes the provision of architectural services, engineering services, drafting services, building inspection services, surveying and mapping services, and so on."
01989dd8-36c0-43cc-a82d-2bfc409de9c4,E,"E WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",38,"38 Waste collection, recovery and disposal activities",382,38.2 Waste recovery,"E WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES 38 Waste collection, recovery and disposal activities 38.2 Waste recovery This group includes waste pretreatment and recovery of both non-hazardous and hazardous waste. Included are materials recovery, energy recovery resulting from thermal treatment of waste and other forms of waste recovery. Treatment prior to recovery of various forms of waste by different means is also included in the group."
01a83071-6533-4675-b2da-f0c6d02669f5,L,L FINANCIAL AND INSURANCE ACTIVITIES,66,66 Activities auxiliary to financial services and insurance activities,662,66.2 Activities auxiliary to insurance and pension funding,"L FINANCIAL AND INSURANCE ACTIVITIES 66 Activities auxiliary to financial services and insurance activities 66.2 Activities auxiliary to insurance and pension funding This group includes acting as agents (in other words, brokers) in selling annuities and insurance policies or providing other employee benefits and insurance and pension-related services (for example, claims adjustment, third-party administration)."
01d74409-5303-4b5c-8925-0cc21c4da8ee,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",72,72 Scientific research and development,721,72.1 Research and experimental development on natural sciences and engineering,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 72 Scientific research and development 72.1 Research and experimental development on natural sciences and engineering"
01da600c-ddb3-4a37-95e9-5301b459ae90,C,C MANUFACTURING,20,20 Manufacture of chemicals and chemical products,205,20.5 Manufacture of other chemical products,"C MANUFACTURING 20 Manufacture of chemicals and chemical products 20.5 Manufacture of other chemical products This group includes the manufacture of liquid biofuels and chemical products n.e.c. (for example, explosives and pyrotechnic products, glues, essential oils, composite diagnostic preparations)."
01ffb917-98dc-48c1-91ad-93c4104e791d,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",72,72 Scientific research and development,721,72.1 Research and experimental development on natural sciences and engineering,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 72 Scientific research and development 72.1 Research and experimental development on natural sciences and engineering"
01ffb917-98dc-48c1-91ad-93c4104e791d,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",71,71 Architectural and engineering activities; technical testing and analysis,711,71.1 Architectural and engineering activities and related technical consultancy,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 71 Architectural and engineering activities; technical testing and analysis 71.1 Architectural and engineering activities and related technical consultancy This group includes the provision of architectural services, engineering services, drafting services, building inspection services, surveying and mapping services, and so on."
021663ca-a367-472e-a1f0-6d8ab5b2d860,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",69,69 Legal and accounting activities,691,69.1 Legal activities,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 69 Legal and accounting activities 69.1 Legal activities"
02375132-3290-4221-bf55-d93ec61a3bf3,C,C MANUFACTURING,13,13 Manufacture of textiles,132,13.2 Weaving of textiles,C MANUFACTURING 13 Manufacture of textiles 13.2 Weaving of textiles
02447817-ea01-4d8b-b09c-8bc128e447e6,F,F CONSTRUCTION,43,43 Specialised construction activities,433,43.3 Building completion and finishing,F CONSTRUCTION 43 Specialised construction activities 43.3 Building completion and finishing
0249b723-1d20-4ff9-8623-d20b98d0b4a4,G,G WHOLESALE AND RETAIL TRADE,47,47 Retail trade,477,"47.7 Retail sale of other goods, except motor vehicles and motorcycles","G WHOLESALE AND RETAIL TRADE 47 Retail trade 47.7 Retail sale of other goods, except motor vehicles and motorcycles This group includes the specialised retail sale of various goods not elsewhere classified (for example, clothing, footwear and leather articles, pharmaceutical and medical goods, watches, souvenirs, cleaning products, toiletries, flowers, pets). This group also includes:
- retail sale of second-hand goods"
02609ece-cea3-43fa-bf38-b6fb821f28b2,O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,79,"79 Travel agency, tour operator and other reservation service and related activities",799,79.9 Other reservation service and related activities,"O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES 79 Travel agency, tour operator and other reservation service and related activities 79.9 Other reservation service and related activities"
02609ece-cea3-43fa-bf38-b6fb821f28b2,O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,79,"79 Travel agency, tour operator and other reservation service and related activities",791,79.1 Travel agency and tour operator activities,"O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES 79 Travel agency, tour operator and other reservation service and related activities 79.1 Travel agency and tour operator activities This group includes the activities of agencies, primarily engaged in the sale of pre-packaged or custom-packaged travel packages, comprising transport, accommodation, tour guide and other services to the general public and commercial clients and the activities of arranging and assembling tours that are sold through travel agencies or directly by agents (for example, tour operators). This group also includes the activities of tour operators."
026401a9-7d56-4d7b-8052-38985ddbeafa,A,"A AGRICULTURE, FORESTRY AND FISHING",01,"01 Crop and animal production, hunting and related service activities",014,01.4 Animal production,"A AGRICULTURE, FORESTRY AND FISHING 01 Crop and animal production, hunting and related service activities 01.4 Animal production This group includes:
- farming (husbandry, raising) and breeding of all animals, except aquatic animals"
0264b794-3771-47aa-a675-78bf13b62ee7,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",69,69 Legal and accounting activities,691,69.1 Legal activities,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 69 Legal and accounting activities 69.1 Legal activities"
0264b794-3771-47aa-a675-78bf13b62ee7,P,P PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,84,84 Public administration and defence; compulsory social security,841,"84.1 Administration of the State and the economic, social and environmental policies of the community","P PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY 84 Public administration and defence; compulsory social security 84.1 Administration of the State and the economic, social and environmental policies of the community This group includes general administration (for example, executive, legislative and financial administration, at all levels of government) and supervision in the field of social, economic and environmental policy of the community."
0264b794-3771-47aa-a675-78bf13b62ee7,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",70,70 Activities of head offices and management consultancy,701,70.1 Activities of head offices,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 70 Activities of head offices and management consultancy 70.1 Activities of head offices"
026a5233-cad9-4b1d-8852-22c2685ab34e,C,C MANUFACTURING,19,19 Manufacture of coke and refined petroleum products,192,19.2 Manufacture of refined petroleum products and fossil fuel products,C MANUFACTURING 19 Manufacture of coke and refined petroleum products 19.2 Manufacture of refined petroleum products and fossil fuel products
029a5b78-4d1c-4cf9-a2d2-bb8d8729b8a3,C,C MANUFACTURING,14,14 Manufacture of wearing apparel,142,14.2 Manufacture of other wearing apparel and accessories,"C MANUFACTURING 14 Manufacture of wearing apparel 14.2 Manufacture of other wearing apparel and accessories This group includes the manufacture of wearing apparel, other than knitted or crocheted. The material used may be of any kind and may be coated, impregnated or rubberised."
02b5b7b0-b856-4ac7-924c-8c35c7880b2a,C,C MANUFACTURING,25,"25 Manufacture of fabricated metal products, except machinery and equipment",255,25.5 Treatment and coating of metals; machining,"C MANUFACTURING 25 Manufacture of fabricated metal products, except machinery and equipment 25.5 Treatment and coating of metals; machining This group includes general activities for the treatment of metal (for example, plating, coating, engraving, boring, polishing or welding), which are typically carried out on a fee or contract basis."
02bd7cac-8263-4425-b03d-19001ffe8787,A,"A AGRICULTURE, FORESTRY AND FISHING",03,03 Fishing and aquaculture,032,03.2 Aquaculture,"A AGRICULTURE, FORESTRY AND FISHING 03 Fishing and aquaculture 03.2 Aquaculture This group includes aquaculture (or aquafarming), in other words, the production process involving the culturing or farming (including harvesting) of aquatic organisms (for example, fish, molluscs, crustaceans, plants, amphibians) using techniques designed to increase the production of the organisms in question beyond the natural capacity of the environment (for example, regular stocking, feeding and protection from predators). Aquaculture also encompasses individual, corporate or state ownership of the individual organisms throughout the rearing or culture stage, up to and including harvesting.

Culturing/farming refers to the rearing up to their juvenile and/or adult phase under captive conditions of the above organisms. This group also includes:
- breeding/farming of fry and adults under artificial conditions"
02d4f153-8e43-444d-8bd4-8171d49eab12,C,C MANUFACTURING,28,28 Manufacture of machinery and equipment n.e.c.,281,28.1 Manufacture of general-purpose machinery,C MANUFACTURING 28 Manufacture of machinery and equipment n.e.c. 28.1 Manufacture of general-purpose machinery
02e19186-458f-40eb-9e78-31c656d12ac7,I,I ACCOMMODATION AND FOOD SERVICE ACTIVITIES,55,55 Accommodation,551,55.1 Hotels and similar accommodation,I ACCOMMODATION AND FOOD SERVICE ACTIVITIES 55 Accommodation 55.1 Hotels and similar accommodation
02e94cd6-8e6d-4e9b-b695-edb460c70528,C,C MANUFACTURING,23,23 Manufacture of other non-metallic mineral products,234,23.4 Manufacture of other porcelain and ceramic products,"C MANUFACTURING 23 Manufacture of other non-metallic mineral products 23.4 Manufacture of other porcelain and ceramic products This group includes the manufacture of final products from mined or quarried non-metallic minerals (for example, sand, gravel, stone or clay)."
02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",71,71 Architectural and engineering activities; technical testing and analysis,711,71.1 Architectural and engineering activities and related technical consultancy,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 71 Architectural and engineering activities; technical testing and analysis 71.1 Architectural and engineering activities and related technical consultancy This group includes the provision of architectural services, engineering services, drafting services, building inspection services, surveying and mapping services, and so on."
02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",71,71 Architectural and engineering activities; technical testing and analysis,712,71.2 Technical testing and analysis,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 71 Architectural and engineering activities; technical testing and analysis 71.2 Technical testing and analysis"
02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2,C,C MANUFACTURING,26,"26 Manufacture of computer, electronic and optical products",263,26.3 Manufacture of communication equipment,"C MANUFACTURING 26 Manufacture of computer, electronic and optical products 26.3 Manufacture of communication equipment"
02f1ae71-f89c-47b7-af2c-50d7ab1d9b8a,Q,Q EDUCATION,85,85 Education,855,85.5 Other education,"Q EDUCATION 85 Education 85.5 Other education This group includes education (including non-formal) which is neither part of initial education in the regular school system, nor equivalent in programme content and qualifications to those programmes. It includes training for any professional, hobby or self-development purposes for both children and adults, including non-formal continuing vocational education and training. Non-formal education is defined by ISCED-P 2011 as institutionalised, intentional and planned by an education provider, as an addition, alternative and/or complement to formal education within the process of an individual’s lifelong learning. It targets people of all ages but does not necessarily apply a continuous pathway/structure; it may be short in duration and/or low-intensity, and it is typically provided in the form of short courses, workshops or seminars.

This group includes the provision of athletic instruction to groups or individuals, foreign language instruction, instruction in the arts, drama or music, as well as other instruction or specialised training provided by camps and schools, not comparable to the education in groups 85.1 to 85.4. This group also includes education activities run by self-employed / own account / individual / independent lecturers (tutors, academics, instructors)."
02f26b2f-879c-4811-8381-65e8dd3f4a16,C,C MANUFACTURING,15,15 Manufacture of leather and related products of other materials,152,15.2 Manufacture of footwear,C MANUFACTURING 15 Manufacture of leather and related products of other materials 15.2 Manufacture of footwear
02ff199e-38b3-45fd-b659-68846cfeeb92,F,F CONSTRUCTION,43,43 Specialised construction activities,432,"43.2 Electrical, plumbing and other construction installation activities","F CONSTRUCTION 43 Specialised construction activities 43.2 Electrical, plumbing and other construction installation activities This group includes installation activities that support the functioning of a building, including the installation of electrical systems, plumbing (water, gas and sewerage systems), heat and air-conditioning systems, elevators, and so on."
032d4115-03ec-49c9-853d-678f8a41969b,G,G WHOLESALE AND RETAIL TRADE,46,46 Wholesale trade,465,46.5 Wholesale of information and communication equipment,G WHOLESALE AND RETAIL TRADE 46 Wholesale trade 46.5 Wholesale of information and communication equipment
032d4115-03ec-49c9-853d-678f8a41969b,K,"K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",61,61 Telecommunication,619,61.9 Other telecommunication activities,"K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES 61 Telecommunication 61.9 Other telecommunication activities"
032d4115-03ec-49c9-853d-678f8a41969b,K,"K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",61,61 Telecommunication,612,61.2 Telecommunication reselling activities and intermediation service activities for telecommunication,"K TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES 61 Telecommunication 61.2 Telecommunication reselling activities and intermediation service activities for telecommunication"
034cad59-e666-4770-a7ef-a337257f8072,Q,Q EDUCATION,85,85 Education,853,85.3 Secondary and post-secondary non-tertiary education,"Q EDUCATION 85 Education 85.3 Secondary and post-secondary non-tertiary education This group includes the provision of general secondary and technical and vocational secondary education. This group also includes the provision of education programmes within or outside the school system which are equivalent in content to programmes in secondary education but are intended for those considered too old to enter secondary schools. Examples of such programmes are adult literacy programmes, second chance or reintegration programmes."
03632d98-0ae3-4dd2-941c-3b48de9a0219,S,"S ARTS, SPORTS AND RECREATION",90,90 Arts creation and performing arts activities,903,90.3 Support activities to arts creation and performing arts,"S ARTS, SPORTS AND RECREATION 90 Arts creation and performing arts activities 90.3 Support activities to arts creation and performing arts This group includes support activities to arts creation and performing arts. It includes activities supporting the production of theatre, opera and ballet performances, musicals, events and others, activities of producers of artistic performances, inside or outside the premises."
036dc42f-bd4d-4533-a3cc-fcd313227ce3,C,C MANUFACTURING,30,30 Manufacture of other transport equipment,303,30.3 Manufacture of air and spacecraft and related machinery,C MANUFACTURING 30 Manufacture of other transport equipment 30.3 Manufacture of air and spacecraft and related machinery
03b2f112-a891-461d-a8d4-effb9dcf2df6,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",74,"74 Other professional, scientific and technical activities",749,"74.9 Other professional, scientific and technical activities n.e.c.","N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES 74 Other professional, scientific and technical activities 74.9 Other professional, scientific and technical activities n.e.c."
03b2f112-a891-461d-a8d4-effb9dcf2df6,F,F CONSTRUCTION,43,43 Specialised construction activities,431,43.1 Demolition and site preparation,"F CONSTRUCTION 43 Specialised construction activities 43.1 Demolition and site preparation This group includes activities of preparing a site for subsequent construction activities, including the removal of previously existing structures."
03b2f112-a891-461d-a8d4-effb9dcf2df6,B,B MINING AND QUARRYING,08,08 Other mining and quarrying,089,08.9 Mining and quarrying n.e.c.,B MINING AND QUARRYING 08 Other mining and quarrying 08.9 Mining and quarrying n.e.c.
03b2f112-a891-461d-a8d4-effb9dcf2df6,B,B MINING AND QUARRYING,08,08 Other mining and quarrying,081,"08.1 Quarrying of stone, sand and clay","B MINING AND QUARRYING 08 Other mining and quarrying 08.1 Quarrying of stone, sand and clay"
03b55cb5-9735-4582-8e20-2b1cb76635cb,G,G WHOLESALE AND RETAIL TRADE,47,47 Retail trade,477,"47.7 Retail sale of other goods, except motor vehicles and motorcycles","G WHOLESALE AND RETAIL TRADE 47 Retail trade 47.7 Retail sale of other goods, except motor vehicles and motorcycles This group includes the specialised retail sale of various goods not elsewhere classified (for example, clothing, footwear and leather articles, pharmaceutical and medical goods, watches, souvenirs, cleaning products, toiletries, flowers, pets). This group also includes:
- retail sale of second-hand goods"
03b9d7c4-9590-4e0d-97a7-470254e165d4,G,G WHOLESALE AND RETAIL TRADE,47,47 Retail trade,475,47.5 Retail sale of other household equipment,"G WHOLESALE AND RETAIL TRADE 47 Retail trade 47.5 Retail sale of other household equipment This group includes the specialised retail sale of household equipment (for example, textiles, hardware, carpets, electrical appliances, furniture)."
03d79393-7b30-4159-945b-01963eddd302,Q,Q EDUCATION,85,85 Education,852,85.2 Primary education,Q EDUCATION 85 Education 85.2 Primary education
03e02554-15d1-4697-960c-8909e7d36f7e,H,H TRANSPORTATION AND STORAGE,49,49 Land transport and transport via pipelines,491,49.1 Passenger rail transport,H TRANSPORTATION AND STORAGE 49 Land transport and transport via pipelines 49.1 Passenger rail transport
040f62f5-d570-4d3f-b732-c8ea4afc2738,C,C MANUFACTURING,28,28 Manufacture of machinery and equipment n.e.c.,281,28.1 Manufacture of general-purpose machinery,C MANUFACTURING 28 Manufacture of machinery and equipment n.e.c. 28.1 Manufacture of general-purpose machinery
040fcfa5-24be-43eb-afd5-828297175b16,H,H TRANSPORTATION AND STORAGE,52,"52 Warehousing, storage and support activities for transportation",521,52.1 Warehousing and storage,"H TRANSPORTATION AND STORAGE 52 Warehousing, storage and support activities for transportation 52.1 Warehousing and storage"
044d78cc-f62f-4532-83a5-8e04f2889652,O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,82,"82 Office administrative, office support and other business support activities",821,82.1 Office administrative and support activities,"O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES 82 Office administrative, office support and other business support activities 82.1 Office administrative and support activities"
