esco_id,esco_label,esco_description,group_code,group_label_en,division_code,division_label_en,section_code,section_label_en,pad_occupations,pad_activities,pad_skills,pad_quotes,onet_job_zone,onet_job_zone_label,onet_job_zone_est
326027fc-5408-47cd-9b32-fbe770dbbe80,construction quality manager,"Construction quality managers make sure the quality of the work meets standards set in the contract, as well as minimum legislative standards. They establish procedures to check quality, perform inspections, and propose solutions to quality shortcomings.",701,70.1 Activities of head offices,70,70 Activities of head offices and management consultancy,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","""owners engineer""","""Support supervision of distribution work and ensure compliance with quality and safety standards.""","""construction supervision"", ""technical design review"", ""quality assurance"", ""health and safety compliance"", ""contract supervision""","III. PROJECT IMPLEMENTATION: ""The PIU will engage an owner's engineer to support supervision of distribution work and ensure compliance with quality and safety standards.""",4.0,4: Considerable Preparation Needed,minimum
4910419f-b4af-4f59-b544-9dbebc8a74f0,electrician,"Electricians fit and repair electrical circuits and wiring systems. They also install and maintain electrical equipment and machinery. This work can be performed indoors as well as outdoors, in nearly every type of facility.",331,"33.1 Repair and maintenance of fabricated metal products, machinery and equipment",33,"33 Repair, maintenance and installation of machinery and equipment",C,C MANUFACTURING,"""electrical installation technician""","""Carry out network connections outsourced by the Project Implementation Unit to private companies.""","""low-voltage installation"", ""meter and connection installation"", ""network connection testing"", ""safety compliance"", ""customer wiring""","III. PROJECT IMPLEMENTATION: ""The PIU will be responsible for deploying the network by outsourcing connections  to  private  companies.""",2.0,2: Some Preparation Needed,minimum
4b214899-ed00-4156-b269-a23df0fb1093,environmental protection manager,"Environmental protection managers provide advice on the development of environmental policies to governmental and official institutions. They analyse possible threats for the well being of the people and the environment in a region and manage campaigns aimed at tackling problems such as waste collection, landfills, and preservation of green areas.",702,70.2 Business and other management consultancy activities,70,70 Activities of head offices and management consultancy,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","""environmental and social specialist"", ""environmental specialist""","""Recruited as safeguard consultants to manage environmental and social risk mitigation and compliance."", ""Implement environmental safeguards including resettlement action plans, manage environmental complaints, oversee contractors and ensure environmental compliance.""","""environmental impact assessment"", ""resettlement planning and implementation"", ""stakeholder engagement"", ""grievance redress management"", ""safeguards monitoring and reporting"", ""environmental impact assessment"", ""mitigation planning"", ""environmental compliance monitoring"", ""contractor oversight"", ""biodiversity management""","II. PROJECT DESCRIPTION: ""Specifically, it will cover costs for (i) recruiting fiduciary, engineering, and safeguard consultants; (ii) office equipment; (iii) transport equipment required for capacity development and supervision in the provinces; and (iv) specialized consultants, as needed."", IV. PROJECT APPRAISAL SUMMARY: ""To address this, the project includes budget allocations to recruit highly qualified environmental, social, and gender specialists, and to strengthen their ability to implement RAPs, manage complaints, oversee contractors and ensure E&S compliance. These specialists will be recruited no later than 90 days after the project effective date.""",4.0,4: Considerable Preparation Needed,minimum
50e00fda-ac7c-4bc5-9f19-69a33ff3d6e7,fiscal affairs policy officer,"Fiscal affairs policy officers research, analyse and develop policies related to taxation and government spending in public policy sectors, and implement these policies to improve the existing regulation around the sector. They work closely with partners, external organisations or other stakeholders and provide them with regular updates.",841,"84.1 Administration of the State and the economic, social and environmental policies of the community",84,84 Public administration and defence; compulsory social security,P,P PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,"""tariff analyst""","""Develop and run a tariff and subsidy simulation model to estimate fiscal impacts of reform scenarios and tariff trajectories for government decision making.""","""tariff design"", ""subsidy impact assessment"", ""fiscal simulation"", ""policy analysis"", ""stakeholder consultation""","ANNEX 3: ECONOMIC AND FINANCIAL ANALYSIS: ""The analysis will include the development of two key tools: (i) an updated financial model of EDG, calibrated to reflect actual cost structures, operational performance, and investment plans; and (ii) a tariff and subsidy simulation model capable of estimating the fiscal impact of various reform scenarios and tariff trajectories, including lifeline rates and social protection measures.""",5.0,5: Extensive Preparation Needed,unique
57e87533-e523-4ee5-bf21-94a39fcc279b,health safety and environmental manager,"Health, safety and environmental managers design and execute corporate policies and procedures related to occupational health and safety and environmental protection. They analyse business processes to ensure compliance with government and environment legislation, conduct risk assessment in the domain of occupational health and safety, evaluate the environmental impact of economic activities and design the appropriate measures for the improvement of work environments and cultures. They coordinate the implementation of an integrated health, safety and environmental management system, defining effective indicators, organizing audits and eventually participating in accident investigation and reporting. They promote an integrated approach to sustainability and occupational health within business organisations, liaising with corporate and line managers and training employees. They are responsible for drafting technical documentation related to the compliance with health and safety and environmental legislation.",841,"84.1 Administration of the State and the economic, social and environmental policies of the community",84,84 Public administration and defence; compulsory social security,P,P PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,"""environmental and social specialist""","""Provide environmental and social risk management support within the Project Implementation Unit.""","""environmental risk assessment"", ""social safeguards management"", ""community engagement"", ""Environmental and Social Framework implementation"", ""monitoring and reporting""","III. PROJECT IMPLEMENTATION: ""Enhancements to the PIU will include highly experienced E&S risk management staff, M&E and gender specialists, as well as personnel from EDG, AGER and the MEHH.""",4.0,4: Considerable Preparation Needed,unique
5e5b1b61-1351-4d3b-a293-deb3661715dd,financial controller,"Financial controllers handle all tasks related to the budgeting and accounting aspects of a company or organisation. They implement and ensure compliance with internal financial and accounting procedures, and prepare documentation for external audits. They collect information related to financial statements such as assets, liabilities, equity, and cash flow in order to assess the company's financial position to prepare annual budgets and forecasts.",692,"69.2 Accounting, bookkeeping and auditing activities; tax consultancy",69,69 Legal and accounting activities,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","""financial management specialist"", ""financial manager""","""Prepare, coordinate, and publish audited financial statements to improve financial management and transparency at Électricité de Guinée."", ""Recruited to provide fiduciary oversight and financial management support for project implementation."", ""Manage fiduciary functions including financial management and disbursement arrangements for the project."", ""Provide financial management support within the PIU, implement financial management procedures and tools for the project."", ""Manage financial management tasks for the Project Implementation Unit, including updating procedures and using project financial software.""","""financial reporting"", ""audit coordination"", ""accounting standards compliance"", ""financial analysis"", ""stakeholder communication"", ""public financial management"", ""budget preparation and monitoring"", ""financial reporting and accounting"", ""funds disbursement controls"", ""donor compliance and audits"", ""financial reporting"", ""budget management"", ""disbursement processing"", ""statement of expenditures"", ""audit coordination"", ""public financial management"", ""accounting software operation"", ""financial reporting"", ""internal control design"", ""budget preparation"", ""project accounting"", ""financial reporting"", ""budget monitoring"", ""financial systems setup""","I. STRATEGIC CONTEXT: ""As part of this effort, regular publication of EDG's audited financial statements will help ensure transparency and drive improvements in financial management (FM)."", II. PROJECT DESCRIPTION: ""Specifically, it will cover costs for (i) recruiting fiduciary, engineering, and safeguard consultants; (ii) office equipment; (iii) transport equipment required for capacity development and supervision in the provinces; and (iv) specialized consultants, as needed."", III. PROJECT IMPLEMENTATION: ""The fiduciary management (FM and procurement activities) of the current GNEAP-1 will be maintained."", IV. PROJECT APPRAISAL SUMMARY: ""The PIU is familiar with World Bank FM procedures and requirements as it has been supporting World Bank financed projects since 2014. Adequate FM arrangements are in place and operational. The project has adequate staffing (an FM specialist and an accountant) and internal control tools: manual of procedures including FM procedures, accounting software, Annual Work Plan and Budget (AWPB), internal auditor."", V. KEY RISKS: ""The project will be implemented by the existing and functional PIU from GNEAP-1, which has experienced FM and procurement staff with extensive  knowledge  of managing  World  Bank-financed  projects.""",4.0,4: Considerable Preparation Needed,unique
65fb0b53-b8c4-4839-b099-c80b6de5a158,employment programme coordinator,Employment programme coordinators research and develop employment programmes and policies to improve employment standards and reduce issues such as unemployment. They supervise promotion of policy plans and coordinate implementation.,841,"84.1 Administration of the State and the economic, social and environmental policies of the community",84,84 Public administration and defence; compulsory social security,P,P PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,"""internship coordinator""","""Create and coordinate internship programs linking technical education to employment for women in STEM, including partnerships with universities and Électricité de Guinée.""","""internship program design"", ""student outreach and placement"", ""partnership coordination"", ""training logistics"", ""monitoring and reporting""","ANNEX 4: CLIMATE RISKS 46: ""Specifically,  the  project  will  support:  (i)  the  creation  of  pathways  from  education  to  employment  in  technical  roles, including internship programs for women in STEM fields, such as the partnership launched in 2024 between EDG and Gamal  University;  (ii)  recruitment,  retention,  and  promotion  of  women  through  coaching  and  mentorship  programs focused on career progression; and (iii) the development and implementation of an institutional gender policy within EDG and  AGER  to  foster  inclusive  work  environments.""",4.0,4: Considerable Preparation Needed,llm
6d823dbb-4008-4fb7-b98d-f9d934478647,solar power plant operator,"Solar power plant operators operate and maintain equipment which produce electrical energy from solar power. They monitor measuring equipment to ensure the safety of operations, and that the production needs are met. They also react to system problems, and repair faults.",351,"35.1 Electric power generation, transmission and distribution",35,"35 Electricity, gas, steam and air conditioning supply",D,"D ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY","""operations and maintenance technician""","""Perform operating and maintenance activities to maintain newly deployed mini-grid assets as described under Component 2.""","""preventive maintenance"", ""battery and inverter maintenance"", ""solar photovoltaic troubleshooting"", ""equipment inspection"", ""safety procedures""","ANNEX 3: ECONOMIC AND FINANCIAL ANALYSIS: ""The incremental costs for Component 2 are (i) the total initial capital costs of the mini-grid investments and replacement CAPEX; (ii) operating costs to maintain the newly deployed assets; and (iii) incremental diesel generation costs from the mini-grid diesel genset to meet the demand from the mini-grid consumers.""",3.0,3: Medium Preparation Needed,llm
7052fd94-f563-46a9-8e2d-cba6c20f3e71,overhead line worker,Overhead line workers construct and maintain power supply and control cables in overhead power lines. They also make and repair electrical cables connecting customers to the electricity network.,351,"35.1 Electric power generation, transmission and distribution",35,"35 Electricity, gas, steam and air conditioning supply",D,"D ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY","""power lineworker""","""Construct and rehabilitate medium-voltage and low-voltage lines and associated last-mile distribution infrastructure.""","""overhead line construction"", ""medium voltage installation"", ""line maintenance"", ""worksite safety""","V. KEY RISKS: ""Disbursement will be contingent on confirmation to the World Bank that the amount to be disbursed corresponds to eligible expenditures incurred. Eligible expenditures include: extending and densifying the grid access in Kindia and building a MV line for Kindia-Donkea, by providing supply and installation of last-mile connection equipment, including smart meters and pre-paid meters (Subcomponent 1.1.1).""",2.0,2: Some Preparation Needed,minimum
72381086-cb6e-455e-a40b-ccb26550aab6,power production plant operator,"Power production plant operators maintain and operate the equipment in power stations and other energy production plants. They repair faults, operate machinery directly or from a control room, and handle materials related to electricity production in compliance with safety and environmental procedures. They facilitate interaction between electrical energy facilities, ensuring that distribution occurs safely.",351,"35.1 Electric power generation, transmission and distribution",35,"35 Electricity, gas, steam and air conditioning supply",D,"D ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY","""minigrid operator""","""Selected private operators will operate and maintain hybrid solar-diesel mini-grids under competitive concessions.""","""mini-grid operations management"", ""renewable generation operation"", ""battery storage operation"", ""tariff and revenue management"", ""concession compliance""","II. PROJECT DESCRIPTION: ""Private operators will be selected competitively through a transparent and open process.""",2.0,2: Some Preparation Needed,minimum
8213b4bc-60ce-4ffc-9e00-9758fb2003c6,monitoring and evaluation officer,"Monitoring and evaluation officers are responsible for the conceptualisation, design, implementation and follow-up of the monitoring and evaluation activities of projects, programmes, policies, strategies, institutions or processes, along the relevant programming cycle. They develop monitoring, inspection and evaluation methods and instruments needed to collect and analyse data, and report on results by applying structured M&E frameworks, theories, approaches and methodologies. M&E officers inform decision-making through reporting, learning products or activities and knowledge management. They can also engage in capacity development activities by providing training and capacity building support within their organizations or for clients and partners.",702,70.2 Business and other management consultancy activities,70,70 Activities of head offices and management consultancy,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","""independent verification agent"", ""monitoring and evaluation specialist""","""Implement and coordinate all monitoring and evaluation activities under the project."", ""Review sector recovery plan documents, verify required components, assess operationalization, and prepare verification reports for the World Bank.""","""indicator design and tracking"", ""survey design"", ""data analysis"", ""report writing"", ""database management"", ""document verification"", ""performance assessment"", ""report writing"", ""stakeholder coordination""","III. PROJECT IMPLEMENTATION: ""The M&E specialist will implement and coordinate all M&E activities under the project."", V. KEY RISKS: ""The IVA will: (i) review the Government resolution and accompanying sector recovery plan documents; (ii) verify that the  recovery plan includes the required components; and (iii) assess whether operationalization has been initiated through  dated, verifiable documentation in accordance with the schedule and to a degree acceptable to the World Bank.""",4.0,4: Considerable Preparation Needed,llm
8d586ee9-0ab1-4155-a3b0-2ca786c8e48c,financial analyst,"Financial analysts conduct economic research and elicit valuable analyses on financial matters such as profitability, liquidity, solvency, and asset management. They provide recommendations on financial matters for decision-making processes. Financial analysts work in both the public and the private sector.",661,"66.1 Activities auxiliary to financial services, except insurance and pension funding",66,66 Activities auxiliary to financial services and insurance activities,L,L FINANCIAL AND INSURANCE ACTIVITIES,"""financial modeler""","""Develop an updated financial model of Électricité de Guinée to reflect cost structures, operational performance, and investment plans for scenario testing.""","""financial modeling"", ""utility finance analysis"", ""scenario analysis"", ""spreadsheet modeling"", ""data calibration""","ANNEX 3: ECONOMIC AND FINANCIAL ANALYSIS: ""The analysis will include the development of two key tools: (i) an updated financial model of EDG, calibrated to reflect actual cost structures, operational performance, and investment plans; and (ii) a tariff and subsidy simulation model capable of estimating the fiscal impact of various reform scenarios and tariff trajectories, including lifeline rates and social protection measures.""",4.0,4: Considerable Preparation Needed,minimum
949ab84f-5d76-4139-a568-45691b7ebc53,equality and inclusion manager,"Equality and inclusion managers develop policies to improve affirmative action, diversity and equality matters. They inform staff in corporations on the importance of the policies, and implementation and advise senior staff on corporate climate. They also perform guidance and support duties for employees.",702,70.2 Business and other management consultancy activities,70,70 Activities of head offices and management consultancy,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","""gender policy specialist"", ""gender specialist""","""Design and implement gender-responsive measures, support inclusive resettlement and grievance processes, and monitor gender actions."", ""Develop and implement an institutional gender equality policy for Électricité de Guinée and the Guinean Agency for Rural Electrification to foster inclusive work environments.""","""gender analysis"", ""gender-responsive program design"", ""inclusive stakeholder engagement"", ""monitoring gender indicators"", ""capacity building"", ""gender policy development"", ""stakeholder consultation"", ""implementation planning"", ""monitoring and evaluation"", ""workplace inclusion strategies""","IV. PROJECT APPRAISAL SUMMARY: ""To address this, the project includes budget allocations to recruit highly qualified environmental, social, and gender specialists, and to strengthen their ability to implement RAPs, manage complaints, oversee contractors and ensure E&S compliance. These specialists will be recruited no later than 90 days after the project effective date."", ANNEX 4: CLIMATE RISKS 46: ""Specifically,  the  project  will  support:  (i)  the  creation  of  pathways  from  education  to  employment  in  technical  roles, including internship programs for women in STEM fields, such as the partnership launched in 2024 between EDG and Gamal  University;  (ii)  recruitment,  retention,  and  promotion  of  women  through  coaching  and  mentorship  programs focused on career progression; and (iii) the development and implementation of an institutional gender policy within EDG and  AGER  to  foster  inclusive  work  environments.""",4.0,4: Considerable Preparation Needed,unique
9e285322-2cfa-430f-9b66-41be57d698e2,public affairs consultant,"Public affairs consultants function as representatives for a client's goal. They attempt to persuade legislative bodies and policy makers to implement laws or regulation in accordance with the client's wishes, and negotiate with parties with potentially conflicting interests. They perform analytical and research duties in order to ensure that the client's cause is being addressed in an appropriate way to the appropriate parties. They also consult their clients on their causes and policies.",733,73.3 Public relations and communication activities,73,"73 Activities of advertising, market research and public relations",N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","""community engagement specialist""","""Design and implement public information campaigns, outreach, consultations, and periodic satisfaction surveys to engage communities and raise awareness.""","""communications campaign design"", ""stakeholder consultations"", ""survey implementation"", ""public outreach"", ""feedback analysis""","IV. PROJECT APPRAISAL SUMMARY: ""The project will support activities to raise public awareness on the safe, efficient, and legal use of electricity, and to encourage community support for grid and off-grid electrification efforts. Public information campaigns will be conducted to inform citizens about the benefits of formal electricity connections and the procedures for accessing subsidized connections, particularly in newly served neighborhoods.""",4.0,4: Considerable Preparation Needed,minimum
a1273779-d2d4-4708-a406-62f7cdd26aab,health and safety engineer,"Health and safety engineers design objects and programs by combining engineering principles and health and safety requirements. They envision the protection and well-being of the people using designed objects or performing work under designed health and safety programs. They assess facilities and the risks that they might pose (e.g. contaminant materials, ergonomics, handling of dangerous substances, etc.) in order to design and improve health and safety measures.",712,71.2 Technical testing and analysis,71,71 Architectural and engineering activities; technical testing and analysis,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","""occupational health and safety specialist""","""Develop occupational health and safety plans, assess and mitigate worker safety risks, and oversee contractor safety compliance during construction and electrification works.""","""OHS risk assessment"", ""safety plan development"", ""site inspections"", ""incident investigation"", ""contractor safety oversight""","IV. PROJECT APPRAISAL SUMMARY: ""The World Bank will also involve significant occupational health and safety (OHS) risks, mainly the risks of electrification, electrocution, burns, slips, falls, etc., for workers. The supply of electrical and other construction materials could generate significant traffic on the roads connecting the project sites with the nearest towns and villages, which constitute sources of traffic accident risks. In summary, the low capacity of the Recipient -especially EDG, AGER and the E&S staff of the GNEAP-1 project -to manage E&S risks, could constitute an obstacle to the adequate management of the above environmental risks and adverse impacts associated with the project. Hence the environmental risk assessment confirms a Substantial level, and appropriate and suitable measures will be put in place to mitigate these risks and adverse impacts. ESIAs and RAPs are currently being prepared for the Kindia to Labé line corridor. Specific plans -such as Air Emissions and Pollution Management Plan, a Hazardous/Non-Hazardous Waste Management Plan, Biodiversity Management Plans, OHS plans, etc. -will be developed during project implementation, and will allow to avoid, anticipate, reduce, mitigate, or compensate E&S risks and impacts of the project.""",4.0,4: Considerable Preparation Needed,minimum
