project_id,esco_id,esco_label,esco_description,pad_occupations,pad_activities,pad_skills,pad_quotes,esco_uri
P075941,1bdb7d70-1769-4338-aa90-d25a90fe8a6d,geological engineer,"Geological engineers apply geological knowledge for the assessment of sites, soils, slope stability, sediments and other observable characteristics in the Earth. They integrate this information in the planning and development of projects in those places. They assess and answer questions concerning the geological characteristics of soils by performing research and experiments on the sites aimed to be intervened.","""Geotechnical Engineer""","""Prepare a Geotechnical Baseline Report (GBR) to take into account additional costs relating to unforeseen ground conditions."", ""Conduct additional geotechnical investigation during tendering for design.""","""prepare Geotechnical Baseline Report (GBR)"", ""assess unforeseen ground conditions"", ""conduct geotechnical investigation during tendering for design""",": ""In order to manage this risk, a Geotechnical Baseline Report (GBR) will be prepared to adequately take into account any additional costs relating to unforeseen ground conditions."", : ""To further enhance the assessments and reduce risks associated with price escalations during construction, an additional geotechnical investigation will take place in tendering for design.""",http://data.europa.eu/esco/occupation/1bdb7d70-1769-4338-aa90-d25a90fe8a6d
P075941,1de948c1-192a-4810-afb7-48548217a912,production plant crane operator,"Production plant crane operators operate the basic technologic cranes during the production process at the given unit by lifting and moving loads (bales, containers, buckets and other facilities) with raw and other materials.","""Hoist Operator""","""operate the hoist located at deck level to raise and lower intake gates during dewatering, filling and inspections""","""raise and lower the intake gates using the deck-level hoist"", ""operate hoist during dewatering, filling and inspections""",": ""A hoist located at the deck level, inside a protective housing, will raise and lower  the  intake gates.""",http://data.europa.eu/esco/occupation/1de948c1-192a-4810-afb7-48548217a912
P075941,1e55f5e3-2f02-434b-997b-9a9f3eb745e8,power lines supervisor,Power lines supervisors monitor the construction and maintenance of power lines and associated equipment. They assign tasks and take quick decisions to resolve problems.,"""Transmission Line Construction Engineer""","""Design and supervise construction of transmission lines connecting Rusumo to Gitega, Kigali and Nyakanazi.""","""construct transmission lines"", ""supervise transmission line construction""",": ""This component will consist of construction of three transmission lines from Rusumo to: (i) Gitega, Burundi (161 km); (ii) Kigali, Rwanda (119 km); and (iii) Nyakanazi, Tanzania (98.2 km).""",http://data.europa.eu/esco/occupation/1e55f5e3-2f02-434b-997b-9a9f3eb745e8
P075941,1f2b8092-1787-4ef4-9282-cf81ce4b4d76,mobile crane operator,"Mobile crane operators work with a variety of crane types that can be moved easily around the road, rail and water. Mobile cranes are often mounted on trucks.","""Mobile Crane Operator""","""operate a mobile crane to install and remove stoplogs and assist with intake gate handling""","""extend crane outriggers"", ""install and remove stoplogs from the deck using a mobile crane""",": ""A mobile crane  will be  able to extend its outriggers to  install and remove the  stoplogs, as  required, from  the  deck.""",http://data.europa.eu/esco/occupation/1f2b8092-1787-4ef4-9282-cf81ce4b4d76
P075941,1ff61522-8947-4c95-b589-cb0e0539a62b,energy systems engineer,"Energy systems engineers supervise the energy conversion and distribution processes. They analyse the energy supply and consumption efficiency developing new ways to improve the existing processes, taking into account both the technical and the financial aspects. They also study the environmental impact of energy usage and combine the production of renewable energy in the current power systems.","""Power System Planning Engineer""","""Conduct collaborative planning to promote power interchanges among the Nile Equatorial Lakes countries.""","""collaborative planning to promote power interchanges""",": ""Collaborative planning will help promote power interchanges among the NEL countries.""",http://data.europa.eu/esco/occupation/1ff61522-8947-4c95-b589-cb0e0539a62b
P075941,203ea2ee-bbee-4aaf-83d7-2f2225f916e3,archaeologist,"Archaeologists research and study past civilisations and settlements through collecting and inspecting material remains. They analyse and draw conclusions on a wide array of matters such as hierarchy systems, linguistics, culture, and politics based on the study of objects, structures, fossils, relics, and artifacts left behind by these peoples. Archaeologists utilise various interdisciplinary methods such as stratigraphy, typology, 3D analysis, mathematics, and modelling.","""Archaeologist""","""Include and implement procedures for chance finds during earthworks and civil works (handling of sacred and burial sites, archaeological artifacts).""","""handle chance finds including sacred and burial sites and archeological artifacts""",": ""However, the contract  for earthworks  and  civil  works  for  the  project  will  include  procedures  for  chance  finds  (e.g. handling  of  sacred  and  burial  sites,  archeological  artifacts,  etc).""",http://data.europa.eu/esco/occupation/203ea2ee-bbee-4aaf-83d7-2f2225f916e3
P075941,20db07fc-cc02-46aa-a4fc-b3c73ba8fa8f,concrete finisher supervisor,Concrete finisher supervisors monitor the concrete finishing process. They assign tasks to finishers and take quick decisions to resolve problems. They may also pass on their skills to apprentices.,"""Concrete Works Supervisor""","""Supervise and execute concrete works for the power plant complex structures.""","""perform concrete works for the power plant complex structures""",": ""This component comprises all excavation/earth works, tunneling and concrete for the power plant complex structures, including a barrage and gated spillway, intake works and diversion/power canal, surface powerhouse, access roads and construction site facilities such as offices and housing.""",http://data.europa.eu/esco/occupation/20db07fc-cc02-46aa-a4fc-b3c73ba8fa8f
P075941,246dda29-70f6-408b-b205-aa17b2ffb168,election observer,Election observers are skilled and trained spectators of the elections in a functioning democracy in order to enhance the transparency and credibility of the observed elections.,"""Independent Observer (for RAP implementation)""","""The Rusumo Project Implementation Unit will supervise the work of the independent observer as part of synchronizing RAP outcome monitoring and evaluation and preparing consolidated RAP implementation reports.""","""monitor and observe RAP implementation"", ""report on RAP outcomes""",": ""Specifically, the RPIU will: (i) synchronize the RAP outcome monitoring and evaluation; (ii) provide communications across countries and among key stakeholders; (iii) supervise the work of the independent observer; (iv) maintain oversight of the grievance mechanism; and (v) prepare consolidated RAP implementation reports.""",http://data.europa.eu/esco/occupation/246dda29-70f6-408b-b205-aa17b2ffb168
P075941,2a914d26-42aa-46b5-acf3-097d51ba4617,construction engineer,Construction engineers interpret building designs and add technical specifications to construction projects. They integrate engineering principles into the designs to ensure that structures are safe and resistant. They work together with architects and engineers to transform design ideas into executable plans.,"""Owner's Engineer"", ""Building Construction Engineer"", ""Owner's Engineer (consulting engineer)""","""Assist the Project entity with overall project management and supervision of procurement, design, construction, interface management and preparation for operation and maintenance and coordinate implementation of the Environmental and Social Management Plan and the Resettlement Action Plan."", ""construct new customs and immigration facilities as part of project works"", ""The Rusumo Project Implementation Unit will be supported by the Owner's Engineer who will be responsible for overall project management and supervision of procurement, design, construction and preparation of operation and maintenance plan of the power plant complex and dam safety plans, and coordination of the implementation of the Environmental and Social Management Plan and the Resettlement Action Plan.""","""assist with overall project management and supervision of procurement, design and construction"", ""manage interface and prepare for operation and maintenance of the power plant complex"", ""coordinate implementation of the Environmental and Social Management Plan and the Resettlement Action Plan"", ""construct customs and immigration facilities"", ""overall project management"", ""supervision of procurement, design and construction"", ""prepare operation and maintenance plan"", ""coordinate Environmental and Social Management Plan and Resettlement Action Plan implementation""",": ""This component will finance an Owner's Engineer to assist the Project entity with: (i) overall project management and supervision of the procurement, design, construction, interface management and preparation for operation and maintenance of the power plant complex; and (ii) coordination of the implementation of the ESMP RAP."", : ""The project will involve major  changes  to the  road  configuration on  both  sides of the  river and  construction of  new customs  and immigration facilities."", : ""The RPIU will be supported by the Owner's Engineer who will be responsible for: (i) overall project management and supervision of the procurement, design, construction and preparation of operation and maintenance plan of the power plant complex and dam safety plans; and (ii) coordination of the implementation of the Environmental and Social Management Plan (ESMP) and the Resettlement Action Plan (RAP).""",http://data.europa.eu/esco/occupation/2a914d26-42aa-46b5-acf3-097d51ba4617
P075941,30f3ea93-882a-4525-841c-1d5b4b64076f,financial manager,"Financial managers handle all the matters in reference to the finance and investments of a company. They manage financial operations of companies such as the assets, liabilities, equity and cash flow aiming to maintain the financial health of the company and operative viability. Financial managers evaluate the strategic plans of the company in financial terms, maintain transparent financial operations for taxation and auditing bodies, and create the financial statements of the company at the end of the fiscal year.","""Financial manager, Rusumo Power Company Limited"", ""Utility Financial Management Specialist"", ""Financial Management Specialist""","""Build up a reserve for major rehabilitation costs over five years through the company's capacity charge starting in Year 21 of operations."", ""Support national utilities to ease financial imbalances."", ""Provide financial management support to the set-up operations of the Rusumo Power Company Limited and the NELSAP Rusumo Project Implementation Unit.""","""build-up reserve for major rehabilitation through capacity charges"", ""manage timing of reserve accumulation aligned with operations"", ""ease financial imbalances"", ""support national utilities"", ""provide financial management support for project set-up operations""",": ""Under the Base Case, a reserve for the major rehabilitation costs will be built-up over five years prior to start of the rehabilitation through the company's capacity charge."", : ""The project will also support the national utilities of the three countries to reduce the generation capacity shortages and ease financial imbalances by alleviating or eliminating reliance on expensive thermal generation."", : ""This component will also finance staff costs to support the set-up operations of the Rusumo Power Company Limited (RPCL) and NELSAP Rusumo Project Implementation Unit (RPIU) including a project manager, senior engineers (civil, electrical and mechanical), a quantity surveyor, a safeguards team, a procurement specialist, a financial management specialist, accounts and logistics assistant, a communications specialist and other technical staff.""",http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f
P075941,31854d78-3615-43a4-aa3a-c597ecb20ceb,legal consultant,"Legal consultants advise a varied array of clients ranging from business, individuals, up to legal firms. They provide legal advisory outside courtrooms in relation to legal affairs which depend on the nature of the client. They advise in matters such as merging of multinationals, housing purchase, modification of contracts and its implications. They help clients in general to abide by the regulations and avoid committing illegal acts.","""Legal Advisor""","""Provide support to the implementation-support team as a legal advisor.""","""provide support to the implementation-support team""",": ""This team will receive support from an institutional specialist in the electricity sector, an electromechanical engineer, a civil engineer, a resettlement specialist, a hydropower specialist, a legal advisor, a water resources specialist, a communications specialist, and a monitoring and evaluation (M&E) specialist.""",http://data.europa.eu/esco/occupation/31854d78-3615-43a4-aa3a-c597ecb20ceb
P075941,326027fc-5408-47cd-9b32-fbe770dbbe80,construction quality manager,"Construction quality managers make sure the quality of the work meets standards set in the contract, as well as minimum legislative standards. They establish procedures to check quality, perform inspections, and propose solutions to quality shortcomings.","""Construction Supervision and Quality Assurance Engineer""","""Prepare and implement a detailed plan for Construction Supervision and Quality Assurance.""","""prepare detailed plan for Construction Supervision and Quality Assurance""",": ""There will be a detailed plan for the Construction Supervision and Quality Assurance, in addition to detailed instrumentation and monitoring system.""",http://data.europa.eu/esco/occupation/326027fc-5408-47cd-9b32-fbe770dbbe80
P075941,351a0eb0-a1d0-49bd-a2f8-6dc447ddf316,pipeline environmental project manager,"Pipeline environmental project managers ensure the accomplishment of environmental preservation within pipeline transport projects. They, together with a group of managers and specialists, analyse the sites and routes of pipelines in order to advice on environmental issues to be considered and addressed.","""Transmission Line Contractor (required to prepare and implement ESMP)""","""The transmission line contractor will be required to prepare and implement a detailed Environmental and Social Management Plan for the T-lines construction.""","""prepare and implement detailed Environmental and Social Management Plan""",": ""In  addition, the  contractor will  be required to  prepare  and implement  a  detailed environmental and  social management plan (ESMP).""",http://data.europa.eu/esco/occupation/351a0eb0-a1d0-49bd-a2f8-6dc447ddf316
P075941,35fbb8cd-c044-49a1-850c-010481c99b4a,financial markets back office administrator,"Financial markets back office administrators perform administrative tasks for all the transactions registered in the trading room. They process transactions involving securities, derivatives, foreign exchange, commodities, and manage the clearing and settling of trades.","""Cash Compensation Administrator""","""Administer cash compensation payments to approximately 664 project affected households under the Resettlement Action Plan.""","""administer cash compensation payments to project affected households""",": ""This component will finance the Environmental and Social Management Plan (ESMP) and the Resettlement Action Plan (RAP) including cash compensation to approximately Six Hundred Sixty Four (664) project affected households and implementation of the associated Livelihood Restoration Program and the Local Area Development Plan (LADP).""",http://data.europa.eu/esco/occupation/35fbb8cd-c044-49a1-850c-010481c99b4a
P075941,364e61ab-1631-4fe1-a170-e88797aad6f9,driller,"Drillers set up and operate drilling rigs and related equipment designed to drill holes for mineral exploration, in shotfiring operations, and for construction purposes.","""Geotechnical Drilling Technician""","""excavate several inclined boreholes in the rock mass at the top of the powerhouse to characterize fault location and nature during detailed design""","""excavate inclined boreholes"", ""characterize location and nature of faults from borehole data""",": ""During the detailed design  of the  powerhouse,  several inclined boreholes will be excavated  in  the rock mass at  the top of  the powerhouse in  order  to characterize the location and nature  of  the fault.""",http://data.europa.eu/esco/occupation/364e61ab-1631-4fe1-a170-e88797aad6f9
P075941,3765a20d-5160-4e8f-82f1-ad7872b9db24,information manager,"Information managers are responsible for systems that provide information to people. They assure access to the information in different work environments (public or private) based on theoretical principles and hands-on capabilities in storing, retrieving and communicating information.","""Knowledge Management Specialist""","""Develop and manage a knowledge-management component to document best practices and share them with stakeholders involved in similar ventures.""","""document best practices"", ""share documented best practices with stakeholders""",": ""The strategy will also include a knowledge-management component to document best practices and share them with stakeholders involved in similar ventures.""",http://data.europa.eu/esco/occupation/3765a20d-5160-4e8f-82f1-ad7872b9db24
P075941,39e9fc8f-02bd-4577-b603-2dc96204ce74,community development officer,"Community development officers develop plans to improve quality of life in local communities. They investigate and assess the community's issues and needs, manage resources, and develop implementation strategies. They communicate with the community for investigation purposes, and to inform the community on development plans.","""Livelihood Restoration Program Implementer""","""Implement the Livelihood Restoration Program and the Local Area Development Plan for affected communities.""","""implement the Livelihood Restoration Program"", ""implement the Local Area Development Plan""",": ""This component will finance the Environmental and Social Management Plan (ESMP) and the Resettlement Action Plan (RAP) including cash compensation to approximately Six Hundred Sixty Four (664) project affected households and implementation of the associated Livelihood Restoration Program and the Local Area Development Plan (LADP).""",http://data.europa.eu/esco/occupation/39e9fc8f-02bd-4577-b603-2dc96204ce74
P075941,3d999108-f37a-4087-a936-b2911240b8c2,volunteer manager,"Volunteer managers work across the non-profit sector to recruit, train, motivate and supervise volunteers. They are in charge of designing volunteer assignments, recruiting volunteers, reviewing the tasks undertaken and impact made, providing feedback and managing their overall performance against the objectives of the organisation. Volunteer coordinators might also manage online volunteering activities, sometimes known as cyber-volunteering or e-volunteering.","""Stakeholder Engagement Specialist""","""Capture continuous feedback during project implementation and harness the capacity of Civil Society Organization in monitoring activities.""","""capture feedback during project implementation"", ""harness capacity of Civil Society Organization for monitoring activities""",": ""Therefore the Project's communications strategy emphasizes the continuous capturing of feedback during project implementation, harnessing the capacity of civil society in monitoring activities.""",http://data.europa.eu/esco/occupation/3d999108-f37a-4087-a936-b2911240b8c2
P075941,3e7bf729-4442-4b9f-ad5e-83111963795c,ICT technician,"ICT technicians install, maintain, repair and operate information systems and any ICT related equipment (laptops, desktops, servers, tablets, smart phones, communications equipment, printers and any piece of computer related peripheral networks), and any type of software (drivers, operating systems, applications).","""Environmental and Social Management Consultant""","""A separate consultancy will be responsible for the management and supervision of the implementation of the Environmental and Social Management Plan and the Resettlement Action Plan, supervised by the Safeguards Unit at the Rusumo Project Implementation Unit.""","""manage implementation of Environmental and Social Management Plan"", ""supervise implementation of Resettlement Action Plan""",": ""There will be a separate consultancy responsible for the management and supervision of the implementation of the ESMP and the Resettlement Action Plan (RAP) and supervised by the Safeguards Unit at the RPIU.""",http://data.europa.eu/esco/occupation/3e7bf729-4442-4b9f-ad5e-83111963795c
