esco_id,occupationUri,preferredLabel,combined_text
0010,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,hydrogenation machine operator,"hydrogenation machine operator hydrogenation process operator
hydrogenation machine operative
hydrogenation operator
hydrogenator Hydrogenation machine operators control equipment to process base oils for manufacture of margarine and shortening products. apply HACCP, tend mixing oil machine, administer ingredients in food production, be at ease in unsafe environments, control flow of matter used in oil processing, maintain mechanical equipment, assess oil hardness, perform preliminary operations for oil extraction, adhere to organisational guidelines, assess hydrogenation levels of edible oils, pump products, apply requirements concerning manufacturing of food and beverages, apply GMP, carry out checks of production plant equipment, assess quality characteristics of food products, monitor temperature in manufacturing process of food and beverages, monitor oil blending process"
0011,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,pasta operator,"pasta operator pasta manufacturer
dry pasta production operator
pasta maker
pasta production operator
pasta products operator Pasta operators manufacture dry pasta products. They unload raw ingredients from storage silos and ingredient delivery systems. These operators mix, press, extrude as to reach desired drying levels of pasta. monitor flour unloading equipment, ensure sanitation, monitor machine operations, ensure refrigeration of food in the supply chain, store raw food materials, clean food and beverage machinery, apply HACCP, administer ingredients in food production, be at ease in unsafe environments, monitor operations of cleaning machines, set up machine controls, follow hygienic procedures during food processing, adhere to organisational guidelines, operate presses, dryers and control systems, apply requirements concerning manufacturing of food and beverages, apply GMP, monitor temperature in farinaceous processes, follow production schedule, measure precise food processing operations, operate weighing machine, adjust drying process to goods, knead food products, prepare pasta, operate mixing of food products, exert quality control to processing food, manage production changeovers"
0012,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,tobacco shop manager,"tobacco shop manager tobacco store manager
cigar store manager
cigarette shop manager
cigar shop manager
tobacconists shop manager
purveyor of tobacco and tobacco products
tobacconist store manager
cigar and cigarette shop manager
cigarette store manager
smokers products shop manager
tobacconist shop manager
pipe smokers shop manager
tobacconists store manager
cigar and cigarette store manager Tobacco shop managers assume responsibility for activities and staff in specialised shops. acquire license for selling tobacco products, study sales levels of products, set up pricing strategies, provide information to customers on tobacco products, order supplies, manage budgets, maintain relationship with customers, manage staff, maintain relationship with suppliers, use different communication channels, recruit employees, obtain relevant licenses, oversee promotional sales prices, ensure correct goods labelling, negotiate sales contracts, measure customer feedback, perform procurement processes, maximise sales revenues, ensure compliance with purchasing and contracting regulations, adhere to organisational guidelines, ensure client orientation, set sales goals, apply health and safety standards, supervise merchandise displays, monitor customer service, manage theft prevention, enforce regulations of selling tobacco to minors, handle sensitive products, negotiate buying conditions"
0013,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,"rental service representative in other machinery, equipment and tangible goods","rental service representative in other machinery, equipment and tangible goods rental sales desk supervisor in other machinery, equipment and tangible goods
rental sales desk clerk in other machinery, equipment and tangible goods
rental specialist in other machinery, equipment and tangible goods
rental sales assistant in other machinery, equipment and tangible goods
rental service worker in other machinery, equipment and tangible goods
rental sales manager in other machinery, equipment and tangible goods
rental service desk clerk in other machinery, equipment and tangible goods
rental service assistant in other machinery, equipment and tangible goods
rental sales desk agent in other machinery, equipment and tangible goods
rental service desk supervisor in other machinery, equipment and tangible goods
rental sales supervisor in other machinery, equipment and tangible goods
rental sales worker in other machinery, equipment and tangible goods
rental service team leader in other machinery, equipment and tangible goods
rental service desk agent in other machinery, equipment and tangible goods
rental service supervisor in other machinery, equipment and tangible goods
rental service manager in other machinery, equipment and tangible goods
rental sales team leader in other machinery, equipment and tangible goods
rental advisor in other machinery, equipment and tangible goods Rental service representatives in other machinery, equipment and tangible goods are in charge of renting out equipment and determining specific periods of usage. They document transactions, insurances and payments. guarantee customer satisfaction, perform multiple tasks at the same time, communicate with customers, apply numeracy skills, assist customers, identify customer's needs, handle rental overdues, record customers' personal data, process payments, achieve sales targets, maintain inventory of rented items, manage claims process, have computer literacy, provide customers with price information, provide customer follow-up services, review completed contracts, process data, work independently in rental services, handle financial transactions"
0014,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,mine surveyor,"mine surveyor mine planning surveyor
mine plan maker
planner of mining operations
mining surveyor
mine surveyors
mine operations surveyor
mine records keeper Mine surveyors prepare and maintain mining plans in line with statutory and management requirements. They keep records of the physical progress of mining operations and of ore or mineral production. maintain plans of a mining site, manage staff, maintain records of mining operations, manage mine site data, process collected survey data, perform surveying calculations, write work-related reports, supervise staff, prepare scientific reports, create thematic maps, create GIS reports, present reports, identify GIS issues"
0015,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,food safety specialist,"food safety specialist trainee food safety specialist
food quality controller
food production quality controller
assistant food safety specialist
food compliance manager (food safety)
food safety advisor
food scientist
HACCP compliance manager
technical manager for food safety
food hygiene specialist
food safety monitor
senior food safety specialist
food safety consultant
food safety controller
food safety technician Food safety specialists organise processes and implement procedures to avoid problems with food safety. They comply with regulations. maintain personal hygiene standards, prepare reports on sanitation, plan inspections for prevention of sanitation violations, keep task records, monitor packaging operations, develop food safety programmes, control food safety regulations, take action on food safety violations, evaluate retail food inspection findings, investigate complaints related to consumer protection, train employees"
0016,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,land-based machinery technician,"land-based machinery technician land-based machinery technicians
landbased machinery technician
land-based machinery mechanic Land-based machinery technicians maintain, overhaul and repair agricultural equipment and machinery. maintain agricultural machinery, manoeuvre heavy trucks, diagnose fuel systems, assemble machines, drive agricultural machines, repair equipment on site, inspect machinery, apply health and safety standards"
0017,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,bus driver,"bus driver private coach driver
bus operator
public bus operator
coach driver
bus driving operator
driver of bus
passenger driver
private bus operator
public bus driver
touristic bus driver
transit bus driver
schoolbus driver
public service vehicle operator
international bus driver
intercity bus driver Bus drivers operate buses or coaches, take fares, and look after passengers. focus on passengers, communicate with customers, apply conflict management, control the performance of the vehicle, help to control passenger behaviour during emergency situations, provide first aid, drive in urban areas, read maps, use different communication channels, manoeuvre bus, communicate clearly with passengers, tolerate sitting for long periods, ensure vehicle operability, stay alert, use communication devices, keep time accurately, assist passengers, provide information to passengers, operate GPS systems, lift heavy weights, interpret traffic signals, ensure vehicles are equipped with accessibility equipment, clean road vehicles, adhere to transportation work schedule, perform services in a flexible manner, assist disable passengers, organise vehicle breakdown support, perform defensive driving"
0018,http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,import export manager in meat and meat products,"import export manager in meat and meat products customs compliance manager in meat and meat products
assistant import export manager in meat and meat products
international trade compliance manager in meat and meat products
international trade manager in meat and meat products
senior import manager in meat and meat products
trainee import export manager in meat and meat products
senior import export manager in meat and meat products
graduate export manager in meat and meat products
trainee import manager in meat and meat products
graduate import manager in meat and meat products
trainee export manager in meat and meat products
senior export manager in meat and meat products
graduate import export manager in meat and meat products
assistant import manager in meat and meat products
assistant export manager in meat and meat products Import export managers in meat and meat products install and maintain procedures for cross-border business, coordinating internal and external parties. create solutions to problems, apply conflict management, monitor international market performance, speak different languages, set import export strategies, control trade commercial documentation, ensure customs compliance, perform financial risk management in international trade, build rapport with people from different cultural backgrounds, conduct performance measurement, abide by business ethical code of conducts, comprehend financial business terminology, managing a business with great care, meet deadlines, manage processes, produce sales reports, have computer literacy, maintain financial records, direct distribution operations"
0019,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,housing policy officer,"housing policy officer policy officer
housing policy analyst
affordable housing policy officer
housing policy development officer
senior housing policy officer
housing policy advisor
planning and housing
housing policy researcher
housing policy and strategy officer Housing policy officers research, analyse and develop housing policies which enable affordable and adequate housing for all. They implement these policies to improve the housing situation of the population by measures such as building affordable housing, supporting people to buy real estate and improving conditions in existing housing. Housing policy officers work closely with partners, external organisations or other stakeholders and provide them with regular updates. influence public policies, create solutions to problems, monitor regulations in social services, advise on drafting policies, plan public housing, analyse legislation, set organisational policies, compare property values, advise on legislative acts, manage government policy implementation, influence policy makers on social service issues"
0020,http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,head chef,"head chef chef de cuisine
industrial head chef
sous chef
kitchen manager
patron cuisinier
executive chef
master chef
master kitchen manager
managing partner head chef
head of kitchen
master Chef Head chefs manage the kitchen to oversee the preparation, cooking and service of food. train staff to reduce food waste, comply with food safety and hygiene, manage budgets, handle customer complaints, manage staff, ensure maintenance of kitchen equipment, set prices of menu items, recruit employees, use food preparation techniques, plan menus, keep up with eating out trends, assist customers, plan shifts of employees, supervise food quality, handover the food preparation area, perform procurement processes, use reheating techniques, use culinary finishing techniques, manage hospitality revenue, maintain a safe, hygienic and secure working environment, estimate costs of required supplies, use resource-efficient technologies in hospitality, develop food waste reduction strategies, control of expenses, train employees, manage stock rotation, use cooking techniques, compile cooking recipes, monitor the use of kitchen equipment"
0021,http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,nonwoven filament machine operator,"nonwoven filament machine operator non woven filament machine operator
non woven yarn worker
non-woven yarn worker
nonwoven filament machinist
non-woven filament machine operator
nonwoven yarn worker Nonwoven filament machine operators perform chemical nonwoven processing operations. manufacture textile floor coverings, control textile process, manufacture non-woven filament products"
0022,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,head of higher education institutions,"head of higher education institutions rector for higher education institutions
university chancellor
rector of higher education Heads of higher education institutions manage the day-to-day activities of a higher education institution, such as a college or vocational school. Heads of higher education institutions make decisions concerning admissions and are responsible for meeting curriculum standards, which facilitate academic development for the students. They manage staff, the school's budget, campus programmes and oversee the communication between departments. They also ensure the institution meets the national education requirements set by law. cooperate with education professionals, assist in the organisation of school events, guarantee students' safety, represent the organisation, develop organisational policies, manage staff, manage school budget, liaise with educational support staff, monitor educational developments, assess students, lead board meetings, write work-related reports, liaise with board members, present reports, analyse staff capacity, liaise with educational staff"
0023,http://data.europa.eu/esco/occupation/0181835d-dd00-49e2-9fc4-e1382a65957f,insulation supervisor,"insulation supervisor solid wall insulation installation supervisor
insulation installers supervisor
supervisor of installation of insulating materials
cavity wall insulation installation supervisor
loft insulation installation supervisor
supervisor of installation of insulation
supervisor of insulation materials installation Insulation supervisors monitor insulation operations. They assign tasks and take quick decisions to resolve problems. organise labour, prepare facade cladding, lead a team, design the insulation concept, work in a construction team, inspect construction supplies, install insulation material, plan shifts of employees, inspect insulation, follow health and safety procedures in construction, order construction supplies, process incoming construction supplies, use safety equipment in construction, design building envelope systems, coordinate construction activities"
0024,http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4,dismantling engineer,"dismantling engineer dismantling planner
disassembly planner
dismantling manager Dismantling engineers research and plan the optimal way to dismantle industrial equipment, machinery and buildings that reached the end-of-life phase. They analyse the required work and schedule the various operations. They give team leaders instructions and supervise their work. manage schedule of tasks, perform risk analysis, lead a team, disassemble equipment, disassemble machines, dismantle broken appliances, identify construction materials from blueprints, follow health and safety procedures in construction, advise on machinery malfunctions, develop project schedule, write stress-strain analysis reports, draw blueprints, perform safety data analysis, instruct on safety measures, develop design plans, review construction plans authorisations"
0025,http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5,insurance claims handler,"insurance claims handler claims adjuster
travelling insurance assessor
claims examiner
insurance claims analyst
civil damages inspector
claims inspector
insurance claims inspector
claims representative
insurance claims assessor
claims consultant
claims analyst
claims service supervisor
casualty insurance adjuster
claims handler
property and casualty insurance claims examiner
insurance claims consultant
claims processor
contract claims examiner
insurance claims processor
insurance claims examiner
insurance claims officer Insurance claims handlers ensure that all insurance claims are handled accurately and that payment for valid claims is made to the policyholders. They use statistical data and reporting to calculate and adjust claims as needed, communicate with and guide policyholders and monitor the progress of a claim. manage claim files, analyse claim files, review insurance process, synthesise financial information, maintain records of financial transactions, communicate with beneficiaries, calculate compensation payments, handle incoming insurance claims, apply technical communication skills, provide financial product information, classify insurance claims, interview insurance claimants, organise a damage assessment"
0026,http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,clothing development manager,"clothing development manager clothing product manager
clothes product developer
apparel product developer
clothing manager
sample room manager Clothing development managers define product concepts that are consistent with target consumers and overall marketing strategy. They receive scientific findings and specifications in order to lead the briefing and implementation of all relevant seasonal and strategic concepts, including distribution by channel, product, colour introductions, and merchandised assortments. They ensure realisation and execution within budget. They manage and execute the product line and category life cycle from concept determination through sales and distribution, contribution in market research and industry trends to influence category concepts and products. evaluate garment quality, coordinate manufacturing production activities, distinguish accessories, manage budgets, manage briefs for clothing manufacturing, perform process control in the wearing apparel industry, distinguish fabrics, analyse supply chain strategies, operate computerised control systems, prepare production prototypes"
0027,http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,medical writer,"medical writer healthcare writer
medical information analyst
medical editor
regulatory medical writer
medical publications associate
medical technical writer
research medical writer Medical writers produce and process scientific documents related to medical affairs. Work alongside scientists, doctors and other healthcare professionals. draft scientific or academic papers and technical documentation, manage schedule of tasks, prepare scientific reports, conduct health related research, archive scientific documentation, provide written content, write scientific publications, report the results of treatment, draw up professional texts, work in multidisciplinary health teams"
0028,http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90,nitroglycerin separator operator,"nitroglycerin separator operator nitroglycerin separator operative
nitroglycerin- separator operative
nitro-separator operator
chemical equipment operative
nitroglycerin separator worker
nitroglycerin-separator tender
nitroglycerin-separator operator
nitroglycerin separator tender
nitroglycerin gravity separator
gravity separator operator
chemical equipment operator
nitro-separator operative
nitroglycerin-separator worker
chemical equipment worker Nitroglycerin separator operators maintain the gravity separator, used in explosives processing, controlling the temperature and liquid flow, in order to separate nitroglycerin from spent acids. monitor tank thermometer, optimise production processes parameters, monitor nitroglycerin flow, operate raw mineral separation equipment, segregate raw materials, store spent acids, operate gas extraction equipment, monitor centrifugal separators, separate nitroglycerin from acids"
0029,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,biomedical engineer,"biomedical engineer biomedical technology engineering specialist
biomedical technology engineering consultant
BME consultant
BME specialist
BME expert
biomedical technology engineering adviser
biomedical technology engineer
BME adviser
bio-medical engineer
biomedical engineering specialist
biomedical engineering consultant
biomedical engineering expert
biomedical engineering adviser
biomedical technology engineering expert Biomedical engineers combine knowledge of engineering principles and biological findings for the development of medical treatments, medicaments, and general healthcare purposes. They can develop solutions ranging from the improvement of the components in conventional medicaments up to implants developments, and tissue treatment. manage research data, interact professionally in research and professional environments, assess the feasibility of implementing developments, operate open source software, execute analytical mathematical calculations, demonstrate disciplinary expertise, adjust engineering designs, perform scientific research, apply scientific methods, think abstractly, manage personal professional development, perform project management, collect biological data, develop test procedures, approve engineering design, synthesise information"
0030,http://data.europa.eu/esco/occupation/021663ca-a367-472e-a1f0-6d8ab5b2d860,legal guardian,"legal guardian conservator
department of work and pensions appointee
court-appointed guardian
foster parent
intervenor
legal parent
welfare guardian
youth legal guardian
financial guardian Legal guardians legally assist and support minor children, mentally disabled persons or incapacitated older adults in their personal life. They can manage their property, help with daily financial administration and assist with the ward's medical or social needs. provide first aid, give advice on personal matters, contribute to protecting individuals from harm, advocate for social service users, assist with personal administration issues, apply person-centred care, listen actively, determine child welfare, maintain the trust of service users"
0031,http://data.europa.eu/esco/occupation/02375132-3290-4221-bf55-d93ec61a3bf3,weaver,"weaver weaving machinist
weaving machine operator
needle loom operator
textile weaver
fabric weaver
weaving foreman
weaving forewoman
needle loom weaver
weaving inspector
cloth weaver
manufacturing weaver
loom operator Weavers operate the weaving process at traditional hand powered weaving machines (from silk to carpet, from flat to Jacquard). They monitor the condition of machines and the fabric quality, such as woven fabrics for clothing, home-tex or technical end uses. They carry out mechanic works on machines that convert yarns into fabrics such as blankets, carpets, towels and clothing material. They repair loom malfunctions as reported by the weaver, and complete loom check out sheets. use textile technique for hand-made products, manufacture knitted textiles, manufacture woven fabrics, manufacture staple yarns, tend knitting machine, tend weaving machines, operate garment manufacturing machines, tend textile finishing machines, use warp knitting technologies, use weaving machine technologies, tend textile washing machines, tend automatic sewing machines, manufacture weft knitted fabrics"
0032,http://data.europa.eu/esco/occupation/02447817-ea01-4d8b-b09c-8bc128e447e6,tile fitter,"tile fitter tiler
marble setter
floor tiler
tilefitter
surface tiler
tilesetter
mosaic tiler
tile installer
wall tiler
tiling worker Tile fitters install tiles onto walls and floors. They cut tiles to the right size and shape, prepare the surface, and put the tiles in place flush and straight. Tile fitters may also take on creative and artistic projects, with some laying mosaics. caulk expansion joints, work ergonomically, snap chalk line, transport construction supplies, lay tiles, inspect construction supplies, fill tile joints, follow health and safety procedures in construction, use measurement instruments, cut tiles, mix construction grouts, use safety equipment in construction, apply tile adhesive, types of tile, plan tiling"
0033,http://data.europa.eu/esco/occupation/0249b723-1d20-4ff9-8623-d20b98d0b4a4,shoe and leather accessories shop manager,"shoe and leather accessories shop manager shoe store manager
cobblers shop manager
footwear store manager
shop manager (footwear and leather goods retail store)
leather accessories shop manager
shoe shop manager
cobblers store manager
leather accessories store manager
shoe and leather accessories store manager Shoe and leather accessories shop managers assume responsibility for activities and staff in specialised shops. study sales levels of products, set up pricing strategies, order supplies, manage budgets, maintain relationship with customers, manage staff, maintain relationship with suppliers, use different communication channels, recruit employees, obtain relevant licenses, oversee promotional sales prices, ensure correct goods labelling, negotiate sales contracts, measure customer feedback, perform procurement processes, maximise sales revenues, ensure compliance with purchasing and contracting regulations, adhere to organisational guidelines, ensure client orientation, set sales goals, apply health and safety standards, supervise merchandise displays, apply fashion trends to footwear and leather goods, monitor customer service, manage theft prevention, negotiate buying conditions"
0034,http://data.europa.eu/esco/occupation/02609ece-cea3-43fa-bf38-b6fb821f28b2,tour operator manager,"tour operator manager tour operators manager
package tour operators manager
package tour operator manager
package tour services manager
package tour manager Tour operator managers are in charge of managing employees and of activities within tour operators related to the organisation of package tours and other tourism services. plan marketing strategy, comply with food safety and hygiene, set up pricing strategies, manage budgets, manage staff, prepare travel packages, recruit employees, translate strategy into operation, manage distribution channels, oversee quality control, handle personal identifiable information, oversee the design of touristic publications, develop tourism products, oversee the printing of touristic publications, maintain customer service, measure customer feedback, manage contracts, select optimal distribution channel, maximise sales revenues, provide customised products, develop revenue generation strategies, manage visitor flows in natural protected areas, build a network of suppliers in tourism, plan medium to long term objectives, negotiate tourism rates, build business relationships, develop strategies for accessibility, perform market research"
